Территория примущественного использования транспортного средства	Мотоциклы, мопеды и легкие квадрициклы (транспортные средства категории «A», «М»)	юридических лиц	физических лиц, индивидуальных предпринимателей	используемые в качестве такси	с разрешенной максимальной массой 16 тонн и менее	с разрешенной максимальной массой более 16 тонн	с числом пассажирских мест до 16 включительно	с числом пассажирских мест более 16	используемые на регулярных перевозках с посадкой и высадкой пассажиров как в установленных остановочных пунктах по маршруту регулярных перевозок, так и в любом не _ааппашаиипм ппарылаллы л пппмгипгп л рымгдиыо_	Троллейбусы (транспортные средства категории «Tb»)	Трамваи (транспортные средства категории «Tm»)	Тракторы, самоходные дорожно-строительные и иные машины*, за исключением транспортных средств, не имеющих колесных движителей
При обязательном страховании гражданской ответственности владельцев транспортных средств, зарегистрированных в Российской Федерации (в случае следования к месту регистрации транспортного средства, а также к месту проведения технического осмотра транспортного средства, повторного технического осмотра транспортного средства) 	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
При обязательном страховании гражданской ответственности владельцев транспортных средств, зарегистрированных в иностранных государствах и временно используемых на территории Российской 	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Адыгея	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Алтай												
Горно-Алтайск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Башкортостан												
Благовещенск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1500
Ишимбай	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1500
Кумертау	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1500
Октябрьский	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1500
Салават	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1500
Стерлитамак	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1500
Туймазы	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1500
Уфа	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1500
Прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1500
Республика Бурятия												
Улан-Удэ	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Дагестан												
Буйнакск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Дербент	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Каспийск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Махачкала	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Хасавюрт	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Ингушетия												
Малгобек	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Назрань	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кабардино-Балкарская Республика												
Нальчик	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прохладный	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Калмыкия												
Элиста	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Карачаево-Черкесская Республика	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Карелия												
Петрозаводск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Коми												
Сыктывкар	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ухта	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Крым												
Симферополь	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Марий Эл												
Волжск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Йошкар-Ола	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Мордовия												
Рузаевка	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Саранск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Саха (Якутия)												
Нерюнгри	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Якутск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Северная Осетия - Алания												
Владикавказ	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Татарстан												
Альметьевск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Бугульма	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Елабуга	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Зеленодольск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Казань	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Лениногорск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Набережные Челны	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Нижнекамск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Чистополь	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Тыва												
Кызыл	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Удмуртская Республика												
Воткинск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Глазов	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ижевск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Сарапул	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Хакасия												
Абакан	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Саяногорск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Черногорск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Чеченская Республика	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Чувашская Республика												
Канаш	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новочебоксарск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Чебоксары	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Алтайский край												
Барнаул	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Бийск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Заринск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новоалтайск	1407	2058	4118	7399	4000	7609	4044	5053	7399	4044	2521	1300
Рубцовск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2058	4118	7399	3500	5000	4044	5053	7399	4044	2521	1000
Забайкальский край												
Краснокаменск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1500
Чита	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1500
Прочие города и населенные пункты	1407	2058	3700	7399	3500	5000	4044	5053	7399	4044	2521	1000
Камчатский край												
Петропавловск-Камчатский	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край												
Анапа	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Армавир	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Белореченск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Геленджик	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ейск	1407	2911	4300	7399	3509	5284	4044	5053	7399	4044	2521	1124
Краснодар	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кропоткин	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Крымск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Курганинск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Лабинск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новороссийск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Славянск-на-Кубани	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тимашевск	1407	2911	4300	7399	3509	5284	4044	5053	7399	4044	2521	1124
Тихорецк	1407	2911	4300	7399	3509	5284	4044	5053	7399	4044	2521	1124
Сочи	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Туапсе	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4118	7399	3509	5284	4044	5053	7399	4044	2521	1124
Красноярский край												
Ачинск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Железногорск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Зеленогорск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Лесосибирск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Канск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Красноярск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Минусинск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Назарово	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Норильск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1400
Пермский край												
Березники	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснокамск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Лысьва	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Пермь	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Соликамск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Чайковский	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Приморский край												
Арсеньев	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Артем	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Владивосток	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Находка	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Спасск-Дальний	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Уссурийск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ставропольский край												
Буденновск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Георгиевск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ессентуки	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кисловодск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Минеральные Воды	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Михайловск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Невинномысск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Пятигорск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ставрополь	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Хабаровский край												
Амурск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Комсомольск-на-Амуре	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Хабаровск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Амурская область												
Белогорск												
Свободный	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Благовещенск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Архангельская область												
Архангельск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Котлас	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Северодвинск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Астраханская область												
Астрахань	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Белгородская область												
Белгород	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Губкин	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Старый Оскол	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Брянская область												
Брянск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Клинцы	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Владимирская область												
Владимир	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Гусь-Хрустальный	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Муром	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Волгоградская область												
Волгоград	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Волжский	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Камышин	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Михайловка	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Вологодская область												
Вологда	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Череповец	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Воронежская область												
Борисоглебск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Воронеж	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Лиски	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Россошь	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ивановская область												
Иваново	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кинешма	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Шуя	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Иркутская область												
Ангарск	1407	2058	4736	7399	5053	7609	4044	5053	7399	4044	2521	1895
Братск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Иркутск	1407	2058	4300	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тулун	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Усолье-Сибирское	1407	2058	4500	7399	5053	7609	4044	5053	7399	4044	2521	1895
Усть-Илимск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Усть-Кут	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Черемхово	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Шелехов	1407	2058	4736	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Калининградская область												
Калининград	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Калужская область												
Калуга	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Обнинск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кемеровская область												
Анжеро-Судженск	1407	2911	4700	7399	5053	7609	4044	5053	7399	4044	2521	1895
Белово	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Березовский	1407	2911	4118	7399	2807	4227	4044	5053	7399	4044	2521	1895
Кемерово	1407	2911	4118	7399	2807	4227	4044	5053	7399	4044	2521	1895
Киселевск	1407	2911	4700	7399	5053	7609	4044	5053	7399	4044	2521	1895
Междуреченск	1407	2911	4700	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новокузнецк	1407	2911	4700	7399	2807	4227	4044	5053	7399	4044	2521	1895
Осинники	1407	2911	4700	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прокопьевск	1407	2911	4700	7399	2807	4227	4044	5053	7399	4044	2521	1895
Юрга	1407	2911	4118	7399	2807	4227	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кировская область												
Киров	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кирово-Чепецк	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Костромская область												
Кострома	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Курганская область												
Курган	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Шадринск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Курская область												
Железногорск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Курск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ленинградская область	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Липецкая область												
Елец	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Липецк	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Магаданская область												
Магадан	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Московская область	1407	2058	3590	7399	5053	7609	4044	5053	7399	4044	2521	1895
Мурманская область												
Апатиты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Мончегорск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Мурманск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Североморск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
